create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,14564,fc35c023-ec9d-4710-9fa9-87fd080d31e7.binning_data.json,6672796,6000,,5455,2018-03-30 04:09:06.626,com.sec.android.app.shealth,2018-03-29 10:14:54.060,fc35c023-ec9d-4710-9fa9-87fd080d31e7.source_info.json,1.9754882,13182.03,753.93,9109,VfS0qUERdZ,com.sec.android.app.shealth,0,fc35c023-ec9d-4710-9fa9-87fd080d31e7.achievement.json,fc35c023-ec9d-4710-9fa9-87fd080d31e7,1522281600000,
,14564,f855c6b7-6b48-4c77-82d4-392db39ed04d.binning_data.json,6672710,6000,,5455,2018-03-30 05:02:15.410,com.sec.android.app.shealth,2018-03-30 05:02:15.410,,4.201449,13182.03,753.93,9109,vUHbrX3Rww,com.sec.android.app.shealth,4059,f855c6b7-6b48-4c77-82d4-392db39ed04d.achievement.json,f855c6b7-6b48-4c77-82d4-392db39ed04d,1522281600000,
,4045,63c73f8b-c3c6-4db5-bc09-2a9fdfd11ea6.binning_data.json,2083772,6000,,16,2018-03-31 03:15:01.322,com.sec.android.app.shealth,2018-03-30 07:22:48.354,63c73f8b-c3c6-4db5-bc09-2a9fdfd11ea6.source_info.json,1.5291305,3186.36,137.63,4029,VfS0qUERdZ,com.sec.android.app.shealth,0,63c73f8b-c3c6-4db5-bc09-2a9fdfd11ea6.achievement.json,63c73f8b-c3c6-4db5-bc09-2a9fdfd11ea6,1522368000000,
,4045,5238d8cc-8266-4100-86ca-ce9cfa048a6f.binning_data.json,2083735,6000,,16,2018-03-31 05:05:52.603,com.sec.android.app.shealth,2018-03-31 05:05:52.603,,5.8055553,3186.36,137.63,4029,vUHbrX3Rww,com.sec.android.app.shealth,0,5238d8cc-8266-4100-86ca-ce9cfa048a6f.achievement.json,5238d8cc-8266-4100-86ca-ce9cfa048a6f,1522368000000,
,5605,40e61186-9fd8-4b29-8124-27ceb82b2feb.binning_data.json,2280037,6000,,3779,2018-03-31 17:35:00.406,com.sec.android.app.shealth,2018-03-31 05:32:41.969,40e61186-9fd8-4b29-8124-27ceb82b2feb.source_info.json,2.4686787,5628.68,366.98,1826,VfS0qUERdZ,com.sec.android.app.shealth,0,40e61186-9fd8-4b29-8124-27ceb82b2feb.achievement.json,40e61186-9fd8-4b29-8124-27ceb82b2feb,1522454400000,
,5605,0e6da277-fd1a-4860-ad9c-92a29f83311f.binning_data.json,2280014,6000,,3779,2018-04-01 05:02:17.754,com.sec.android.app.shealth,2018-04-01 05:02:17.754,,4.613711,5628.68,366.98,1826,vUHbrX3Rww,com.sec.android.app.shealth,2246,0e6da277-fd1a-4860-ad9c-92a29f83311f.achievement.json,0e6da277-fd1a-4860-ad9c-92a29f83311f,1522454400000,
,2179,bc83ddd0-e2ba-4d88-b820-aca1094bf248.binning_data.json,1095809,6000,,59,2018-04-02 05:00:45.421,com.sec.android.app.shealth,2018-04-01 05:02:24.686,bc83ddd0-e2ba-4d88-b820-aca1094bf248.source_info.json,1.5887254,1740.94,80.119995,2120,VfS0qUERdZ,com.sec.android.app.shealth,0,bc83ddd0-e2ba-4d88-b820-aca1094bf248.achievement.json,bc83ddd0-e2ba-4d88-b820-aca1094bf248,1522540800000,
,2179,890744fa-c1bb-4bdb-a3ca-6b559697fb5d.binning_data.json,1095786,6000,,59,2018-04-02 05:00:44.769,com.sec.android.app.shealth,2018-04-02 05:00:44.769,,3.591805,1740.94,80.119995,2120,vUHbrX3Rww,com.sec.android.app.shealth,1640,890744fa-c1bb-4bdb-a3ca-6b559697fb5d.achievement.json,890744fa-c1bb-4bdb-a3ca-6b559697fb5d,1522540800000,
,9919,6c09d972-ce88-4ed7-9d53-fdccc74b250c.binning_data.json,4991034,6000,,83,2018-04-03 02:57:06.673,com.sec.android.app.shealth,2018-04-02 10:33:39.145,6c09d972-ce88-4ed7-9d53-fdccc74b250c.source_info.json,1.5524598,7748.38,347.86,9836,VfS0qUERdZ,com.sec.android.app.shealth,0,6c09d972-ce88-4ed7-9d53-fdccc74b250c.achievement.json,6c09d972-ce88-4ed7-9d53-fdccc74b250c,1522627200000,
,9919,18ecfafb-a090-443e-84fe-cdcb216b5f34.binning_data.json,4990933,6000,,83,2018-04-03 05:02:03.478,com.sec.android.app.shealth,2018-04-03 05:02:03.478,,3.6111112,7748.38,347.86,9836,vUHbrX3Rww,com.sec.android.app.shealth,0,18ecfafb-a090-443e-84fe-cdcb216b5f34.achievement.json,18ecfafb-a090-443e-84fe-cdcb216b5f34,1522627200000,
