active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,e003a5a7-f420-4c64-af42-9d0adc0d09f4.extra_data.json,,,,0.0,3390909,1552.6168,,2018-03-23 05:00:10.474,2018-03-22 11:51:05.832,189.33995,vUHbrX3Rww,com.sec.android.app.shealth,e003a5a7-f420-4c64-af42-9d0adc0d09f4,1521676800000,
,,c7420f06-b040-43c8-87c2-c8be2a3c4287.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:09.734,2018-03-22 11:51:09.734,0.0,vUHbrX3Rww,com.sec.android.app.shealth,c7420f06-b040-43c8-87c2-c8be2a3c4287,1519344000000,
,,ff898c4b-b75f-43cf-822f-c2a471a75455.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:09.791,2018-03-22 11:51:09.791,0.0,vUHbrX3Rww,com.sec.android.app.shealth,ff898c4b-b75f-43cf-822f-c2a471a75455,1519430400000,
,,f5b515b0-34bd-456d-b9f9-9149854c3865.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:09.872,2018-03-22 11:51:09.872,0.0,vUHbrX3Rww,com.sec.android.app.shealth,f5b515b0-34bd-456d-b9f9-9149854c3865,1519516800000,
,,23667058-f565-4b0b-b71d-932fe94e7bfc.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:09.928,2018-03-22 11:51:09.928,0.0,vUHbrX3Rww,com.sec.android.app.shealth,23667058-f565-4b0b-b71d-932fe94e7bfc,1519603200000,
,,45521f14-8bae-478e-b512-80c79a3d7e56.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.028,2018-03-22 11:51:10.028,0.0,vUHbrX3Rww,com.sec.android.app.shealth,45521f14-8bae-478e-b512-80c79a3d7e56,1519689600000,
,,57219778-f1d1-4e27-af84-e8072ae3d7a5.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.105,2018-03-22 11:51:10.105,0.0,vUHbrX3Rww,com.sec.android.app.shealth,57219778-f1d1-4e27-af84-e8072ae3d7a5,1519776000000,
,,302f1eaf-8bd3-4cfe-99d5-6dbf2e6ec484.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.171,2018-03-22 11:51:10.171,0.0,vUHbrX3Rww,com.sec.android.app.shealth,302f1eaf-8bd3-4cfe-99d5-6dbf2e6ec484,1519862400000,
,,0d98b623-8ef0-458f-9d76-e6e488dfc8a0.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.226,2018-03-22 11:51:10.226,0.0,vUHbrX3Rww,com.sec.android.app.shealth,0d98b623-8ef0-458f-9d76-e6e488dfc8a0,1519948800000,
,,4f4eed81-6017-4d2b-b45a-2317d559d64b.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.265,2018-03-22 11:51:10.265,0.0,vUHbrX3Rww,com.sec.android.app.shealth,4f4eed81-6017-4d2b-b45a-2317d559d64b,1520035200000,
,,0fe25b0d-dc2d-4842-9a84-61c40990a28c.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.338,2018-03-22 11:51:10.338,0.0,vUHbrX3Rww,com.sec.android.app.shealth,0fe25b0d-dc2d-4842-9a84-61c40990a28c,1520121600000,
,,1b561438-eb54-4782-8fba-533177f142b8.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.387,2018-03-22 11:51:10.387,0.0,vUHbrX3Rww,com.sec.android.app.shealth,1b561438-eb54-4782-8fba-533177f142b8,1520208000000,
,,e74c747c-3dd8-485b-827f-5329e043fa80.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.438,2018-03-22 11:51:10.438,0.0,vUHbrX3Rww,com.sec.android.app.shealth,e74c747c-3dd8-485b-827f-5329e043fa80,1520294400000,
,,fcc87486-99cc-4e89-9f40-82e8a7eb3870.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.479,2018-03-22 11:51:10.479,0.0,vUHbrX3Rww,com.sec.android.app.shealth,fcc87486-99cc-4e89-9f40-82e8a7eb3870,1520380800000,
,,c7284d61-b04e-48a5-8da1-4a2f34402453.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.514,2018-03-22 11:51:10.514,0.0,vUHbrX3Rww,com.sec.android.app.shealth,c7284d61-b04e-48a5-8da1-4a2f34402453,1520467200000,
,,41f9a17c-4cfc-4e54-a1ef-6c131fc242cd.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.547,2018-03-22 11:51:10.547,0.0,vUHbrX3Rww,com.sec.android.app.shealth,41f9a17c-4cfc-4e54-a1ef-6c131fc242cd,1520553600000,
,,bacd9d1f-aed3-4048-8981-17412b2e6c43.extra_data.json,,,,0.0,0,1616.041,,2018-03-22 11:51:10.579,2018-03-22 11:51:10.579,0.0,vUHbrX3Rww,com.sec.android.app.shealth,bacd9d1f-aed3-4048-8981-17412b2e6c43,1520640000000,
