"date","avg_stress","step_count","run_step_count","walk_step_count","recommendation","avg_heart_rate","calories_burned","step_count_reached"
2019-07-28,21.3333333333333,14122,140,13982,6000,65.64,1964.5635,TRUE
2019-07-29,25.55,7282,86,7196,6000,62.9565217391304,1988.59374,TRUE
2019-08-10,26.1666666666667,7899,104,7795,6000,63.875,1927.31714,TRUE
2019-08-11,31.3157894736842,22903,222,22681,6000,67.96,2328.63785,TRUE
2019-08-14,37.1764705882353,8542,137,8405,6000,78.3333333333333,1978.51293,TRUE
2019-08-18,19.85,11540,74,11466,6000,68.8461538461538,2046.4105,TRUE
2019-08-24,21.7368421052632,11867,196,11671,6000,62.16,1961.0424,TRUE
2019-08-26,43.7777777777778,7950,65,7885,6000,71.1739130434783,2254.4831,TRUE
2019-08-28,36.6842105263158,11609,80,11529,6000,67.04,2261.29055,TRUE
2019-08-29,44.5,12594,116,12478,6000,69.3636363636364,1999.20093,TRUE
2019-09-02,19.8421052631579,12042,121,11921,6000,65.375,2309.4364,TRUE
2019-09-11,13.75,14138,310,13828,6000,63.7142857142857,1862.30139,TRUE
2019-09-15,22.8823529411765,11496,58,11438,6000,64.68,2461.73544,TRUE
2019-09-16,38.4736842105263,7565,52,7513,6000,75.4166666666667,1896.98754,TRUE
2019-09-21,33.2,12302,168,12134,6000,68.695652173913,1856.74372,TRUE
2019-09-22,39,5775,59,5716,6000,63.3529411764706,2055.44648,FALSE
2019-09-23,29.1578947368421,14075,192,13883,6000,71.9583333333333,1965.74905,TRUE
2019-09-24,32.8235294117647,10043,116,9927,6000,66.9583333333333,2475.7561,TRUE
2019-09-25,32,8406,73,8333,6000,69.0416666666667,2088.6558,TRUE
2019-09-26,29.3125,11017,84,10933,6000,70.48,2696.7623,TRUE
2019-09-27,25.5454545454545,13851,286,13565,6000,71.2222222222222,2641.3223,TRUE
2019-09-28,9.11764705882353,19720,117,19603,6000,63.0833333333333,2552.0074,TRUE
2019-09-29,31.0666666666667,11144,580,10564,6000,72.12,2097.98825,TRUE
2019-09-30,15.1666666666667,8990,194,8796,6000,69.0416666666667,2080.11937,TRUE
2019-10-01,16.2142857142857,6713,81,6632,6000,63.1428571428571,1894.34533,TRUE
2019-10-02,38.2,7820,27,7793,6000,74.9166666666667,1922.96438,TRUE
2019-10-03,38.4705882352941,10756,113,10643,6000,73.5,2224.0948,TRUE
2019-10-04,36.1052631578947,8998,87,8911,6000,71.7083333333333,1960.68738,TRUE
2019-10-05,14.6666666666667,10468,59,10409,6000,60.0666666666667,1995.3653,TRUE
2019-10-06,20.5789473684211,11092,263,10829,6000,69.75,2127.17656,TRUE
2019-10-07,42,6997,89,6908,6000,72.0416666666667,1897.75634,TRUE
2019-10-08,29.1764705882353,7003,33,6970,6000,76,1898.06943,TRUE
2019-10-09,29.9,11080,212,10868,6000,70.44,2367.68925,TRUE
2019-10-10,28.85,8115,41,8074,6000,68.375,1931.3151,TRUE
2019-10-11,30.2631578947368,8076,65,8011,6000,69.1666666666667,1930.3902,TRUE
2019-10-12,30.7058823529412,8040,107,7933,6000,69.2083333333333,1935.2294,TRUE
2019-10-13,19.9230769230769,7280,140,7140,6000,70.0555555555556,2270.42607,TRUE
2019-10-14,36.2631578947368,8486,17,8469,6000,70.5,1946.12183,TRUE
2019-10-15,47.3529411764706,5888,57,5831,6000,74.1666666666667,1881.15704,FALSE
2019-10-16,38.4444444444444,7571,54,7517,6000,76.44,1919.84923,TRUE
2019-10-17,42.3,13356,297,13059,6000,81.85,2158.479,TRUE
2019-10-18,34.8888888888889,8986,43,8943,6000,74.56,1947.13836,TRUE
2019-10-19,32,10264,78,10186,6000,76.3076923076923,1991.36515,TRUE
2019-10-20,40,10355,61,10294,6000,72.9047619047619,2062.60896,TRUE
2019-10-21,25.5,4735,46,4689,6000,77.6666666666667,2078.58852,FALSE
2019-10-22,32.3684210526316,11485,68,11417,6000,71.32,2023.31034,TRUE
2019-10-23,18.5333333333333,8926,63,8863,6000,65.7,1954.8717,TRUE
2019-10-24,32.5,7818,89,7729,6000,67.5,1920.32962,TRUE
2019-10-25,30.6470588235294,7900,75,7825,6000,70.4,1927.3197,TRUE
2019-10-26,31.8421052631579,7910,47,7863,6000,66.8333333333333,1926.36948,TRUE
2019-10-27,8.16666666666667,4280,100,4180,6000,58.8076923076923,2089.27287,FALSE
2019-10-28,44.5555555555556,2011,35,1976,6000,69.8333333333333,1771.500985,FALSE
2019-11-03,41.7368421052632,12104,126,11978,6000,68.92,1940.42433,TRUE
2019-11-04,35.3888888888889,9510,58,9452,6000,70,2147.6439,TRUE
2019-11-05,28.0526315789474,12687,65,12622,6000,71.0416666666667,1945.62768,TRUE
2019-11-06,34,9220,27,9193,6000,73.0454545454545,1968.0464,TRUE
2019-11-08,36.75,7843,113,7730,6000,73.25,1861.85735,TRUE
2019-11-09,28.2631578947368,10438,177,10261,6000,70.5833333333333,2242.23863,TRUE
2019-11-10,32.1538461538462,8069,246,7823,6000,72.2666666666667,2115.9316,TRUE
2019-11-11,40.2352941176471,3115,24,3091,6000,71.304347826087,1791.58504,FALSE
2019-11-12,29.8,9823,83,9740,6000,69.3333333333333,1986.26284,TRUE
2019-11-13,21.6666666666667,9613,107,9506,6000,82.5,2204.1111,TRUE
2019-11-14,39.7368421052632,14201,144,14057,6000,77.8695652173913,2392.81445,TRUE
2019-11-15,23.4285714285714,10122,63,10059,6000,63.1904761904762,1987.40997,TRUE
2019-11-16,33.4444444444444,5921,37,5884,6000,75,1878.40982,FALSE
2019-11-17,39.1111111111111,6405,132,6273,6000,66.92,2138.4777,TRUE
2019-11-18,46.9090909090909,2786,40,2746,6000,66,1785.22859,FALSE
2019-11-19,27.2666666666667,6480,75,6405,6000,67.2727272727273,1898.5762,TRUE
2019-11-20,25.5,9115,88,9027,6000,65.3888888888889,1967.185,TRUE
2019-11-21,37.2941176470588,12830,214,12616,6000,77.2916666666667,2263.3518,TRUE
2019-11-22,32.9,12124,51,12073,6000,70.6,2044.69627,TRUE
2019-11-23,37.1333333333333,5537,70,5467,6000,70.1666666666667,1863.97427,FALSE
2019-11-24,17.4736842105263,4507,111,4396,6000,63.6666666666667,2097.68894,FALSE
2019-11-25,24.7894736842105,2619,116,2503,6000,67.76,1790.272986,FALSE
2019-11-26,31.7222222222222,6497,122,6375,6000,68.68,1899.0788,TRUE
2019-11-27,30.7777777777778,11192,194,10998,6000,68.76,2035.06077,TRUE
2019-11-28,36.6470588235294,10428,175,10253,6000,65.625,2014.06623,TRUE
2019-11-29,53.3684210526316,14527,5657,8870,6000,76.6538461538462,2666.9779,TRUE
2019-11-30,35.7777777777778,11897,152,11745,6000,76.7916666666667,2323.23404,TRUE
2019-12-01,33.9473684210526,11677,149,11528,6000,71.9583333333333,2120.2524,TRUE
2019-12-02,39.4444444444444,1628,27,1601,6000,71.7368421052632,1845.60998,FALSE
2019-12-03,57.5789473684211,9683,114,9569,6000,72.4,1990.42034,TRUE
2019-12-05,28.1333333333333,11488,164,11324,6000,77.15,2262.9839,TRUE
2019-12-09,41.1052631578947,9058,66,8992,6000,74.68,1923.0612,TRUE
2020-01-01,12.9166666666667,10056,149,9907,6000,64,2537.2756,TRUE
2020-01-02,47.85,1678,80,1598,6000,80.5416666666667,1756.493794,FALSE
2020-01-03,30.7894736842105,10820,116,10704,6000,72.16,2299.8184,TRUE
2020-01-04,34.7894736842105,6269,46,6223,6000,69.64,1878.4529,TRUE
2020-01-05,20.0714285714286,6795,243,6552,6000,62.4444444444444,2001.2665,TRUE
2020-01-06,34.1,1496,32,1464,6000,73.8,1748.172695,FALSE
2020-01-07,34.2105263157895,11373,47,11326,6000,77.6842105263158,2295.5741,TRUE
2020-01-08,50.5,8619,44,8575,6000,72.88,1940.78783,TRUE
2020-01-09,23.0769230769231,8438,29,8409,6000,64.1176470588235,1936.83704,TRUE
2020-01-10,26.0526315789474,1605,74,1531,6000,63.28,1753.98429,FALSE
2020-01-11,29.1578947368421,3835,75,3760,6000,66.7307692307692,1815.32129,FALSE
2020-01-12,29.3333333333333,4331,30,4301,6000,70,1989.20177,FALSE
2020-01-13,51.5789473684211,4831,84,4747,6000,79.2,2085.87216,FALSE
2020-01-14,45.3684210526316,11597,99,11498,6000,69.6,2173.28365,TRUE
2020-01-15,32.5625,7631,129,7502,6000,77.6521739130435,1923.57454,TRUE
2020-01-16,49,13015,149,12866,6000,79.0909090909091,2269.41704,TRUE
2020-01-17,41.2666666666667,9319,133,9186,6000,70.7894736842105,1969.18865,TRUE
2020-01-18,31.1578947368421,10391,73,10318,6000,74.1,2177.5895,TRUE
2020-01-19,32.3888888888889,5007,101,4906,6000,65.52,1955.252,FALSE
2020-01-20,23.8235294117647,6280,422,5858,6000,68.6296296296296,2043.41537,TRUE
2020-01-21,45.5,1337,25,1312,6000,84,1742.895086,FALSE
2020-01-22,33,7902,95,7807,6000,72.08,1934.00385,TRUE
2020-01-23,35.8235294117647,7885,201,7684,6000,67.3333333333333,2147.4394,TRUE
2020-01-24,33,6234,48,6186,6000,68.4166666666667,1884.06808,TRUE
2020-01-25,24.8421052631579,11810,125,11685,6000,66.4,2047.01655,TRUE
2020-01-26,23,3452,31,3421,6000,60.5416666666667,1981.03697,FALSE
2020-01-27,21.5333333333333,2213,11,2202,6000,67.0625,1763.485705,FALSE
2020-01-28,31.0526315789474,5847,53,5794,6000,68.64,1872.8076,FALSE
2020-01-29,36.4117647058824,6659,175,6484,6000,65.9583333333333,2146.6341,TRUE
2020-01-30,30.2631578947368,8924,95,8829,6000,69.84,1958.86666,TRUE
2020-01-31,45.1904761904762,9376,57,9319,6000,74.16,1976.55866,TRUE
2020-02-01,13.3529411764706,11156,321,10835,6000,64.75,2251.9693,TRUE
2020-02-03,28.8421052631579,3290,240,3050,6000,72.25,1816.15934,FALSE
2020-02-04,16.5294117647059,10060,136,9924,6000,67.24,2248.54385,TRUE
2020-02-05,21.9,6610,181,6429,6000,70.0833333333333,1904.2674,TRUE
2020-02-06,25.3888888888889,6222,103,6119,6000,67.5652173913043,2114.77523,TRUE
2020-02-07,41.4210526315789,7220,68,7152,6000,72.3333333333333,1914.14475,TRUE
2020-02-08,46.8888888888889,8588,64,8524,6000,79.2727272727273,1951.44785,TRUE
2020-02-09,38.8,5092,39,5053,6000,67.6086956521739,2394.33396,FALSE
2020-02-10,37.95,3356,25,3331,6000,80.7916666666667,1984.834,FALSE
2020-02-11,34.4117647058824,12359,136,12223,6000,71.3636363636364,2356.0923,TRUE
2020-02-12,41.95,8103,74,8029,6000,82.95,1930.95365,TRUE
2020-02-13,26.4375,11831,66,11765,6000,70.8095238095238,2278.4771,TRUE
2020-02-14,25.8888888888889,10427,190,10237,6000,73.9166666666667,2178.3061,TRUE
2020-02-15,18.375,9649,176,9473,6000,62.25,1982.84804,TRUE
2020-02-16,36.6842105263158,6382,119,6263,6000,65.52,1893.59167,TRUE
2020-02-20,32.9473684210526,10849,128,10721,6000,71.1666666666667,2304.59326,TRUE
2020-02-21,32.1578947368421,10247,164,10083,6000,75.68,1996.8511,TRUE
2020-02-22,18.5,11369,110,11259,6000,67.1111111111111,2288.978,TRUE
2020-02-23,33.7058823529412,4324,14,4310,6000,69.75,1830.31946,FALSE
2020-02-24,24.7368421052632,10560,76,10484,6000,73.3913043478261,2423.61667,TRUE
2020-02-25,17.375,9442,39,9403,6000,70.9,1973.29253,TRUE
2020-02-26,26.8235294117647,8978,79,8899,6000,68.4,1962.3822,TRUE
2020-02-27,37.1052631578947,7587,82,7505,6000,79.75,1925.50868,TRUE
2020-02-29,23.4615384615385,6393,43,6350,6000,69.15,1887.2228,TRUE
2020-03-01,28.4210526315789,2986,45,2941,6000,65.48,2031.7879,FALSE
2020-03-06,23.7,15183,139,15044,6000,68.36,2154.59754,TRUE
2020-03-08,42.5384615384615,2584,39,2545,6000,73.2105263157895,1814.77771,FALSE
2020-03-09,27.2222222222222,8428,184,8244,6000,69.08,2172.1641,TRUE
2020-03-10,30.5,6877,57,6820,6000,71.44,1900.2109,TRUE
2020-03-11,33.1052631578947,8572,88,8484,6000,75.0384615384615,1929.4567,TRUE
2020-03-12,23.1538461538462,12350,73,12277,6000,73.2307692307692,2351.6079,TRUE
2020-03-13,27.1111111111111,6929,109,6820,6000,71.28,1850.47282,TRUE
2020-03-14,19.7142857142857,7196,28,7168,6000,62.2083333333333,1903.22972,TRUE
2020-03-16,28.875,2092,52,2040,6000,68.9090909090909,1765.6825,FALSE
2020-03-17,18.5238095238095,7525,155,7370,6000,70.12,1928.2205,TRUE
2020-03-19,34.6842105263158,10959,32,10927,6000,71.7916666666667,2008.64836,TRUE
2020-03-20,31.8125,10858,44,10814,6000,68.2380952380952,2008.50282,TRUE
2020-03-21,22.6666666666667,6754,143,6611,6000,65.5789473684211,1903.23115,TRUE
2020-03-22,43,1931,27,1904,6000,64.0454545454545,1761.84709,FALSE
2020-03-23,32.85,1926,63,1863,6000,76.76,1762.56299,FALSE
2020-03-24,47.7647058823529,12815,4989,7826,6000,74.8695652173913,2257.9959,TRUE
2020-03-25,34.375,5991,40,5951,6000,81.1818181818182,1870.26367,FALSE
2020-03-26,37.3333333333333,16104,4766,11338,6000,72.0952380952381,2268.1567,TRUE
2020-03-27,42.1111111111111,5606,43,5563,6000,74.4347826086957,1862.88011,FALSE
2020-03-28,18.35,13071,6072,6999,6000,66.32,2283.7606,TRUE
2020-03-29,13.9090909090909,1098,13,1085,6000,62.0769230769231,1734.0124,FALSE
2020-03-30,35.5625,1224,7,1217,6000,71.2380952380952,1737.385203,FALSE
2020-03-31,23.4444444444444,14644,6064,8580,6000,71.0833333333333,2243.99063,TRUE
2020-04-01,26.25,9611,60,9551,6000,73.875,1965.53166,TRUE
2020-04-02,16.8235294117647,16755,6411,10344,6000,67.72,2422.92164,TRUE
2020-04-03,22.6363636363636,7896,27,7869,6000,64.7222222222222,1921.7433,TRUE
2020-04-05,17.8888888888889,1514,128,1386,6000,58.0434782608696,1755.206006,FALSE
2020-04-06,15.6315789473684,13296,9237,4059,6000,69.625,2352.9696,TRUE
2020-04-07,28.1176470588235,16949,6517,10432,6000,73.12,2278.06386,TRUE
2020-04-08,26.7333333333333,18148,6410,11738,6000,71.25,2353.4845,TRUE
2020-04-09,29.2105263157895,7286,60,7226,6000,73.48,1907.4497,TRUE
2020-04-10,17.2222222222222,12238,6237,6001,6000,63,2263.0253,TRUE
2020-04-12,15.3,7253,83,7170,6000,58.625,1910.5417,TRUE
2020-04-13,32.0526315789474,560,22,538,6000,71.96,1720.9087,FALSE
2020-04-14,27.5238095238095,15983,6390,9593,6000,69.3846153846154,2312.38514,TRUE
2020-04-15,26.6,8857,156,8701,6000,71.1,1961.62476,TRUE
2020-04-16,27.15,10106,62,10044,6000,74.96,1980.46413,TRUE
2020-04-17,23.2777777777778,14699,6411,8288,6000,67.7619047619048,2315.6037,TRUE
2020-04-18,27.8,9102,54,9048,6000,64.3478260869565,1948.6133,TRUE
2020-04-19,22.9166666666667,2206,68,2138,6000,58.6666666666667,1767.13518,FALSE
2020-04-20,30.6,2814,30,2784,6000,97.8888888888889,1781.10291,FALSE
2020-04-21,38,19614,6485,13129,6000,88.7857142857143,2537.1472,TRUE
2020-04-22,16.375,6126,100,6026,6000,65.2857142857143,1881.27248,TRUE
2020-04-23,19,3615,18,3597,6000,64.8421052631579,1801.24978,FALSE
